# affix table
slot,stat,label,pct,tier,weight,min,max
weapon,atk,攻擊,,1,268,4,8
weapon,atk,攻擊,,2,168,12,16
weapon,atk,攻擊,,3,105,20,24
weapon,atk,攻擊,,4,66,28,32
weapon,atk,攻擊,,5,41,36,40
weapon,atk,攻擊,,6,26,44,48
weapon,atk,攻擊,,7,16,52,56
weapon,atk,攻擊,,8,10,60,64
weapon,localPhysPct,物理點傷%,1,1,268,0.05,0.1
weapon,localPhysPct,物理點傷%,1,2,168,0.15,0.2
weapon,localPhysPct,物理點傷%,1,3,105,0.25,0.3
weapon,localPhysPct,物理點傷%,1,4,66,0.35,0.4
weapon,localPhysPct,物理點傷%,1,5,41,0.45,0.5
weapon,localPhysPct,物理點傷%,1,6,26,0.55,0.6
weapon,localPhysPct,物理點傷%,1,7,16,0.65,0.7
weapon,localPhysPct,物理點傷%,1,8,10,0.75,0.8
weapon,critChance,暴擊率,1,1,268,0.01,0.02
weapon,critChance,暴擊率,1,2,168,0.03,0.04
weapon,critChance,暴擊率,1,3,105,0.05,0.06
weapon,critChance,暴擊率,1,4,66,0.07,0.08
weapon,critChance,暴擊率,1,5,41,0.09,0.1
weapon,critChance,暴擊率,1,6,26,0.11,0.12
weapon,critChance,暴擊率,1,7,16,0.13,0.14
weapon,critChance,暴擊率,1,8,10,0.15,0.16
weapon,critMult,暴擊傷害,1,1,268,0.05,0.1
weapon,critMult,暴擊傷害,1,2,168,0.15,0.2
weapon,critMult,暴擊傷害,1,3,105,0.25,0.3
weapon,critMult,暴擊傷害,1,4,66,0.35,0.4
weapon,critMult,暴擊傷害,1,5,41,0.45,0.5
weapon,critMult,暴擊傷害,1,6,26,0.55,0.6
weapon,critMult,暴擊傷害,1,7,16,0.65,0.7
weapon,critMult,暴擊傷害,1,8,10,0.75,0.8
weapon,localHastePct,本地攻速,1,1,268,0.03,0.05
weapon,localHastePct,本地攻速,1,2,168,0.07,0.09
weapon,localHastePct,本地攻速,1,3,105,0.11,0.13
weapon,localHastePct,本地攻速,1,4,66,0.15,0.17
weapon,localHastePct,本地攻速,1,5,41,0.19,0.21
weapon,localHastePct,本地攻速,1,6,26,0.23,0.25
weapon,localHastePct,本地攻速,1,7,16,0.27,0.29
weapon,localHastePct,本地攻速,1,8,10,0.31,0.33
armor,hp,生命,,1,268,20,40
armor,hp,生命,,2,168,60,80
armor,hp,生命,,3,105,100,120
armor,hp,生命,,4,66,140,160
armor,hp,生命,,5,41,180,200
armor,hp,生命,,6,26,220,240
armor,hp,生命,,7,16,260,280
armor,hp,生命,,8,10,300,320
armor,def,防禦,,1,268,1,3
armor,def,防禦,,2,168,5,7
armor,def,防禦,,3,105,9,11
armor,def,防禦,,4,66,13,15
armor,def,防禦,,5,41,17,19
armor,def,防禦,,6,26,21,23
armor,def,防禦,,7,16,25,27
armor,def,防禦,,8,10,29,31
armor,hpRegen,回血,,1,268,1,2
armor,hpRegen,回血,,2,168,3,4
armor,hpRegen,回血,,3,105,5,6
armor,hpRegen,回血,,4,66,7,8
armor,hpRegen,回血,,5,41,9,10
armor,hpRegen,回血,,6,26,11,12
armor,hpRegen,回血,,7,16,13,14
armor,hpRegen,回血,,8,10,15,16
armor,dmgReductionPct,減傷,1,1,268,0.01,0.02
armor,dmgReductionPct,減傷,1,2,168,0.03,0.04
armor,dmgReductionPct,減傷,1,3,105,0.05,0.06
armor,dmgReductionPct,減傷,1,4,66,0.07,0.08
armor,dmgReductionPct,減傷,1,5,41,0.09,0.1
armor,dmgReductionPct,減傷,1,6,26,0.11,0.12
armor,dmgReductionPct,減傷,1,7,16,0.13,0.14
armor,dmgReductionPct,減傷,1,8,10,0.15,0.16
armor,blockChance,格擋率,1,1,268,0.03,0.05
armor,blockChance,格擋率,1,2,168,0.08,0.1
armor,blockChance,格擋率,1,3,105,0.13,0.15
armor,blockChance,格擋率,1,4,66,0.18,0.2
armor,blockChance,格擋率,1,5,41,0.23,0.25
armor,blockChance,格擋率,1,6,26,0.28,0.3
armor,blockChance,格擋率,1,7,16,0.33,0.35
armor,blockChance,格擋率,1,8,10,0.38,0.4
accessory,atk,攻擊,,1,268,1.5,3
accessory,atk,攻擊,,2,168,4.5,6
accessory,atk,攻擊,,3,105,7.5,9
accessory,atk,攻擊,,4,66,10.5,12
accessory,atk,攻擊,,5,41,13.5,15
accessory,atk,攻擊,,6,26,16.5,18
accessory,atk,攻擊,,7,16,19.5,21
accessory,atk,攻擊,,8,10,22.5,24
accessory,critChance,暴擊率,1,1,268,0.0075,0.01125
accessory,critChance,暴擊率,1,2,168,0.015,0.01875
